,,option,position,wind_id,k,p,close,iv,delta,gamma,vega,theta
20190812,open a position,option(delta>-0.25),0.6091116500050682,10001893.SH,2.75,0.3045558250025341,0.0122,0.22073039412498474,-0.16884603452435543,1.9002372316106746,0.1513415496105745,-0.3711011508842511
20190812,open a position,option(delta<-0.5),-0.5106947308416941,10001896.SH,2.9,0.5106947308416941,0.072,0.2352021038532257,-0.5697814051327961,2.780432350936563,0.2359618268068951,-0.5988981961919074
20190812,open a position,option(delta>-0.5),-0.48930526915830586,10001895.SH,2.85,0.48930526915830586,0.0435,0.22438201308250427,-0.42716817463799106,2.9104425710398227,0.23563255312119646,-0.5776869937585013
20190813,close a position,option(delta<-0.25),-1.3908883499949318,10001894.SH,2.8,0.6954441749974659,0.0287,0.20549556612968445,-0.35157985888729204,3.1358772480986286,0.21359770624063448,-0.5134924063779684
20190813,close a position,option(delta>-0.25),-0.6091116500050682,10001893.SH,2.75,0.3045558250025341,0.0144,0.20690903067588806,-0.20945400188534036,2.4156506979883337,0.1656718250683237,-0.40487613966293023
20190813,close a position,option(delta<-0.5),0.5106947308416941,10001896.SH,2.9,0.5106947308416941,0.0851,0.2207825481891632,-0.6650807585724859,2.865842693260718,0.20972594714239573,-0.523884666067492
20190813,close a position,option(delta>-0.5),0.48930526915830586,10001895.SH,2.85,0.48930526915830586,0.052,0.20903906226158142,-0.5168946971280676,3.3118862489888787,0.22947635089027987,-0.5532295559001542
20190813,open a position,option(delta<-0.25),0.5705646948408953,10001894.SH,2.8,0.28528234742044767,0.0287,0.20549556612968445,-0.35157985888729204,3.1358772480986286,0.21359770624063448,-0.5134924063779684
20190813,open a position,option(delta>-0.25),1.4294353051591047,10001893.SH,2.75,0.7147176525795523,0.0144,0.20690903067588806,-0.20945400188534036,2.4156506979883337,0.1656718250683237,-0.40487613966293023
20190813,open a position,option(delta<-0.5),-0.8978028995590764,10001895.SH,2.85,0.8978028995590764,0.052,0.20903906226158142,-0.5168946971280676,3.3118862489888787,0.22947635089027987,-0.5532295559001542
20190813,open a position,option(delta>-0.5),-0.10219710044092356,10001894.SH,2.8,0.10219710044092356,0.0287,0.20549556612968445,-0.35157985888729204,3.1358772480986286,0.21359770624063448,-0.5134924063779684
20190814,close a position,option(delta<-0.25),-0.5705646948408953,10001894.SH,2.8,0.28528234742044767,0.0206,0.18688979744911194,-0.3038910542854574,3.3536219649184,0.19512807875525906,-0.45765150910691754
20190814,close a position,option(delta>-0.25),-1.4294353051591047,10001893.SH,2.75,0.7147176525795523,0.01,0.19605377316474915,-0.16845762953948085,2.2997782243502156,0.1403722406168108,-0.3489507559726648
20190814,close a position,option(delta<-0.5),0.8978028995590764,10001895.SH,2.85,0.8978028995590764,0.04,0.18239465355873108,-0.4882282984260875,3.9183101257367547,0.22250049428915258,-0.5004078484055436
20190814,close a position,option(delta>-0.5),0.10219710044092356,10001894.SH,2.8,0.10219710044092356,0.0206,0.18688979744911194,-0.3038910542854574,3.3536219649184,0.19512807875525906,-0.45765150910691754
20190815,open a position,option(delta<-0.25),1.7493691180214912,10001894.SH,2.8,0.8746845590107456,0.0165,0.1853053867816925,-0.26627319260600557,3.2851039571215734,0.17709736459647865,-0.445151359255173
20190815,open a position,option(delta>-0.25),0.2506308819785088,10001893.SH,2.75,0.1253154409892544,0.0073,0.1927798092365265,-0.1364153516444837,2.103053586513099,0.11794697901341042,-0.3112601746554951
20190815,open a position,option(delta<-0.5),-0.233213608063674,10001896.SH,2.9,0.233213608063674,0.0623,0.18061599135398865,-0.6517499615833907,3.7951587649941594,0.19941649772506972,-0.4671345905100275
20190815,open a position,option(delta>-0.5),-0.766786391936326,10001895.SH,2.85,0.766786391936326,0.036,0.19004163146018982,-0.4538461344168908,3.865934030546479,0.21373622058391736,-0.5435633365228714
20190816,close a position,option(delta<-0.25),-1.7493691180214912,10001894.SH,2.8,0.8746845590107456,0.0146,0.19934192299842834,-0.23593897364349747,2.9688984819251014,0.1602677596937856,-0.472042204757594
20190816,close a position,option(delta>-0.25),-0.2506308819785088,10001893.SH,2.75,0.1253154409892544,0.006,0.20238444209098816,-0.11503529779734467,1.8434126467812524,0.10103035095416296,-0.30424132771218926
20190816,close a position,option(delta<-0.5),0.233213608063674,10001896.SH,2.9,0.233213608063674,0.0595,0.2110891044139862,-0.5930394550400715,3.5325502627784755,0.20193255591260137,-0.6130363381658754
20190816,close a position,option(delta>-0.5),0.766786391936326,10001895.SH,2.85,0.766786391936326,0.031,0.19831541180610657,-0.4087581066711782,3.7641447175352942,0.20215056209975305,-0.5856128583841987
20190816,open a position,option(delta<-0.25),0.1627253430816639,10001895.SH,2.85,0.08136267154083195,0.031,0.19831541180610657,-0.4087581066711782,3.7641447175352942,0.20215056209975305,-0.5856128583841987
20190816,open a position,option(delta>-0.25),1.837274656918336,10001894.SH,2.8,0.918637328459168,0.0146,0.19934192299842834,-0.23593897364349747,2.9688984819251014,0.1602677596937856,-0.472042204757594
20190816,open a position,option(delta<-0.5),-0.495122779035534,10001896.SH,2.9,0.495122779035534,0.0595,0.2110891044139862,-0.5930394550400715,3.5325502627784755,0.20193255591260137,-0.6130363381658754
20190816,open a position,option(delta>-0.5),-0.5048772209644661,10001895.SH,2.85,0.5048772209644661,0.031,0.19831541180610657,-0.4087581066711782,3.7641447175352942,0.20215056209975305,-0.5856128583841987
20190819,close a position,option(delta<-0.25),-0.1627253430816639,10001895.SH,2.85,0.08136267154083195,0.012,0.2178153693675995,-0.20869537662358795,2.868250529307482,0.1319777418270684,-0.5704638012407336
20190819,close a position,option(delta>-0.25),-1.837274656918336,10001894.SH,2.8,0.918637328459168,0.005,0.22611507773399353,-0.1001036153377356,1.6899518399332298,0.08072330617860862,-0.3641652775814347
20190819,close a position,option(delta<-0.5),0.495122779035534,10001896.SH,2.9,0.495122779035534,0.0265,0.21418610215187073,-0.37941411479263365,3.8659182903479796,0.17491983051515023,-0.736974086011879
20190819,close a position,option(delta>-0.5),0.5048772209644661,10001895.SH,2.85,0.5048772209644661,0.012,0.2178153693675995,-0.20869537662358795,2.868250529307482,0.1319777418270684,-0.5704638012407336
20190819,open a position,option(delta<-0.25),0.48389091694799446,10001896.SH,2.9,0.24194545847399723,0.0265,0.21418610215187073,-0.37941411479263365,3.8659182903479796,0.17491983051515023,-0.736974086011879
20190819,open a position,option(delta>-0.25),1.5161090830520054,10001895.SH,2.85,0.7580545415260027,0.012,0.2178153693675995,-0.20869537662358795,2.868250529307482,0.1319777418270684,-0.5704638012407336
20190819,open a position,option(delta<-0.5),-0.6157778747507165,10001897.SH,2.95,0.6157778747507165,0.0531,0.2251802384853363,-0.5752410357520507,3.7858656818030987,0.18009040146792765,-0.7875840472431954
